base_formula,modified_formula,added_herbs,deleted_herbs,added_count,deleted_count,edit_distance
六一散,益元散,朱砂,,1,0,1
六一散,碧玉散,青黛,,1,0,1
参附汤,四逆加人参汤,干姜;甘草,,2,0,2
参附汤,温脾汤,大黄;干姜;甘草,,3,0,3
参附汤,茯苓四逆汤,干姜;甘草;茯苓,,3,0,3
左金丸,戊己丸,白芍,,1,0,1
左金丸,香连丸,木香,,1,0,1
干姜附子汤,四逆汤,甘草,,1,0,1
干姜附子汤,白通汤,葱白,,1,0,1
干姜附子汤,通脉四逆汤,甘草,,1,0,1
干姜附子汤,四逆加人参汤,人参;甘草,,2,0,2
干姜附子汤,乌头赤石脂丸,花椒;草乌头;赤石脂,,3,0,3
干姜附子汤,温脾汤,人参;大黄;甘草,,3,0,3
干姜附子汤,白通加猪胆汁汤,人尿;猪胆汁;葱白,,3,0,3
干姜附子汤,茯苓四逆汤,人参;甘草;茯苓,,3,0,3
当归补血汤,圣愈汤,川芎,,1,0,1
当归补血汤,神效托里散,忍冬藤;甘草,,2,0,2
枳实芍药散,四逆散,柴胡;甘草,,2,0,2
枳术丸,曲蘗枳术丸,神曲;麦曲,,2,0,2
枳术丸,橘半枳术丸,半夏;陈皮,,2,0,2
栀子豉汤,栀子甘草豉汤,甘草,,1,0,1
栀子豉汤,栀子生姜豉汤,生姜,,1,0,1
栀子豉汤,栀子大黄汤,大黄;枳实,,2,0,2
桂枝甘草汤,桂枝甘草龙骨牡蛎汤,牡蛎;龙骨,,2,0,2
桂枝甘草汤,甘草附子汤,白术;附子,,2,0,2
桂枝甘草汤,苓桂术甘汤,白术;茯苓,,2,0,2
桂枝甘草汤,茯苓甘草汤,生姜;茯苓,,2,0,2
桂枝甘草汤,防己地黄汤,防己;防风,,2,0,2
桂枝甘草汤,麻黄汤,苦杏仁;麻黄,,2,0,2
桂枝甘草汤,桂枝人参汤,人参;干姜;白术,,3,0,3
桂枝甘草汤,桂枝加桂汤,大枣;生姜;芍药,,3,0,3
桂枝甘草汤,桂枝汤,大枣;生姜;芍药,,3,0,3
桂枝甘草汤,桂枝附子汤,大枣;生姜;附子,,3,0,3
桂枝甘草汤,桃核承气汤,大黄;桃仁;芒硝,,3,0,3
桂枝甘草汤,白虎加桂枝汤,知母;石膏;粳米,,3,0,3
