herb,frequency,degree,weighted_degree,degree_centrality,betweenness_centrality,eigenvector_centrality
甘草,202,222,1305,0.6132596685082873,0.08539753722440326,0.49001930604209004
人参,82,170,650,0.46961325966850825,0.052086129531397095,0.28932952059435696
当归,64,162,550,0.4475138121546961,0.0322553164251259,0.20997248034824129
生姜,69,104,445,0.287292817679558,0.013030528620353782,0.24950111674223135
半夏,60,121,428,0.3342541436464088,0.03738993792279173,0.20911305053911894
茯苓,56,120,421,0.3314917127071823,0.016571623524669236,0.19833929977495524
白术,55,126,416,0.34806629834254144,0.029695186243884886,0.19507329511140978
川芎,40,132,402,0.3646408839779005,0.017299156462803243,0.16519889026832615
大枣,59,90,380,0.24861878453038672,0.008990570035007344,0.23113345866590299
黄芩,44,120,369,0.3314917127071823,0.020829747391656484,0.15698525035707867
桂枝,55,77,339,0.21270718232044197,0.004820096250910199,0.20178012095784476
芍药,49,89,328,0.2458563535911602,0.008101807835786805,0.1783127817009121
防风,31,120,321,0.3314917127071823,0.012069577789104082,0.11570953196742725
陈皮,38,102,306,0.281767955801105,0.015098382117036348,0.13655114045763728
干姜,43,99,286,0.2734806629834254,0.018089748768832844,0.13981042062269522
大黄,42,109,272,0.3011049723756906,0.026110512383125204,0.08512373434640412
附子,47,99,270,0.2734806629834254,0.022789906044285616,0.12268604067766213
黄连,37,122,270,0.33701657458563533,0.029113526402402164,0.10232726250049254
厚朴,32,98,261,0.27071823204419887,0.01071184089085537,0.106712648297193
麻黄,34,89,246,0.2458563535911602,0.01337670871736979,0.12468300570775746
柴胡,24,75,236,0.20718232044198895,0.004407625612942842,0.11018350919387498
麦冬,24,102,228,0.281767955801105,0.014531072514163322,0.08559318675312813
苦杏仁,30,97,212,0.26795580110497236,0.023960261542642237,0.09568013753319819
肉桂,22,89,208,0.2458563535911602,0.010782289707113932,0.08717835487510579
羌活,19,96,201,0.26519337016574585,0.01756946634783119,0.07123191208241318
桔梗,19,82,192,0.22651933701657456,0.005958192489189789,0.07754737858259621
木香,22,97,185,0.26795580110497236,0.028013887530214943,0.053445074119093966
泽泻,20,90,183,0.24861878453038672,0.01148859518885241,0.06155112122507729
白芍,23,58,176,0.1602209944751381,0.0034945612934103917,0.10016105505550182
五味子,16,77,170,0.21270718232044197,0.008027577931384238,0.06099439983490214
生地,21,81,165,0.22375690607734805,0.0075589984126869835,0.06382121927772799
苍术,17,80,163,0.22099447513812154,0.005413834548635751,0.0615272441963245
熟地,18,71,162,0.19613259668508287,0.005446584173717036,0.060333012931754
牛膝,13,93,162,0.2569060773480663,0.011314383790589291,0.04026662851899384
细辛,17,79,160,0.21823204419889503,0.011066034863258392,0.0654761043567155
薄荷,13,67,151,0.1850828729281768,0.003021308948693218,0.05590884373458431
石膏,22,67,146,0.1850828729281768,0.010043517979169433,0.07417416139500119
黄芪,24,61,144,0.16850828729281767,0.01515287317175412,0.07666591364377298
栀子,23,65,138,0.17955801104972374,0.012022617627784591,0.04709589160844134
独活,11,80,138,0.22099447513812154,0.013414826343346696,0.04671791572914857
枳壳,14,73,137,0.2016574585635359,0.010168442373396761,0.05259367625136385
枳实,25,66,134,0.18232044198895025,0.009053834738852766,0.058191027967445186
白芷,13,69,130,0.19060773480662982,0.01366663985486706,0.05241060110543028
牡丹皮,15,68,129,0.1878453038674033,0.011939198217940733,0.03900165146103143
知母,19,70,126,0.19337016574585636,0.014328192357545327,0.05400058029191136
白茯苓,13,65,126,0.17955801104972374,0.006702441118420253,0.04153625170211281
桃仁,16,60,123,0.16574585635359115,0.007374195955197576,0.0312631164582348
阿胶,14,55,114,0.15193370165745856,0.012509394873286329,0.04737288700691682
山药,10,60,105,0.16574585635359115,0.005965448847023264,0.02816650720902814
远志,11,47,102,0.1298342541436464,0.002476062912357574,0.0371906725975587
黄柏,18,60,101,0.16574585635359115,0.011198837269291231,0.03156972014482787
薏苡仁,12,66,96,0.18232044198895025,0.015914255341563224,0.027784042149603724
桂心,9,62,96,0.1712707182320442,0.009325551035255661,0.03464756650573102
槟榔,13,65,94,0.17955801104972374,0.01992548210666283,0.023365491985538864
没药,9,58,91,0.1602209944751381,0.010142645711177078,0.015742264566743835
乳香,7,63,89,0.17403314917127072,0.008979800835348105,0.013181140709321866
地黄,11,57,88,0.1574585635359116,0.013006920896953633,0.03140110689166163
麝香,7,73,87,0.2016574585635359,0.029802242456120544,0.014668053172629241
青皮,9,58,86,0.1602209944751381,0.008472651980255678,0.022637345287274346
神曲,10,51,83,0.1408839779005525,0.010428333945382492,0.02577564249476641
赤茯苓,11,56,81,0.15469613259668508,0.011319667119735618,0.032710585930428665
蒺藜,4,67,80,0.1850828729281768,0.007195578174430986,0.017726299032431433
升麻,8,43,79,0.11878453038674033,0.001954076611226377,0.032689697320420034
橘红,9,54,77,0.14917127071823205,0.009265757093176645,0.027742009955354648
巴戟天,5,54,76,0.14917127071823205,0.0017771487061236473,0.014008494624201348
山茱萸,8,35,75,0.09668508287292818,0.00039374013188179184,0.016629873076080992
玄参,10,39,74,0.10773480662983426,0.002795559118476393,0.024569851518808576
荆芥,6,50,74,0.13812154696132595,0.004691118292887433,0.027372955225399273
石斛,4,45,70,0.12430939226519336,0.0009432456407493517,0.02131727675683663
芒硝,13,37,67,0.1022099447513812,0.0030913965551445355,0.025462528698279356
滑石,12,46,66,0.1270718232044199,0.007560634251019152,0.026497386183681797
肉苁蓉,5,39,66,0.10773480662983426,0.0015857729196708228,0.015344389434319528
白附子,8,49,65,0.13535911602209943,0.008402554567209081,0.01235553882861643
