formula_id,formula_name,herbs,herb_count,book_title,chapter_title
0,麻黄汤,"['桂枝', '甘草', '苦杏仁', '麻黄']",4,经方使用手册,麻黄汤
1,葛根汤,"['大枣', '桂枝', '甘草', '生姜', '芍药', '葛根', '麻黄']",7,伤寒寻源,葛根汤
2,葛根加半夏汤,"['半夏', '大枣', '桂枝', '甘草', '生姜', '芍药', '葛根', '麻黄']",8,伤寒寻源,葛根加半夏汤
3,麻黄加术汤,"['桂枝', '甘草', '白术', '苦杏仁', '麻黄']",5,金匮名医验案精选,麻黄加术汤
4,桂枝甘草汤,"['桂枝', '甘草']",2,经方一百首,004、桂枝甘草汤
5,桂枝加附子汤,"['大枣', '甘草', '生姜', '白术', '肉桂', '附子']",6,伤寒论类方,桂枝加附子汤（二）
6,桂枝新加汤,"['人参', '大枣', '桂枝', '甘草', '生姜', '芍药']",6,伤寒寻源,桂枝新加汤
7,栝楼桂枝汤,"['大枣', '天花粉', '桂枝', '甘草', '生姜', '芍药']",6,金匮名医验案精选,栝蒌桂枝汤
8,桂枝去芍药汤,"['大枣', '甘草', '生姜']",3,伤寒论类方,桂枝去芍药汤（四）
9,桂枝去芍药加附子汤,"['大枣', '甘草', '生姜', '肉桂', '附子']",5,伤寒论类方,桂枝去芍药加附子汤（五）
10,桂枝麻黄各半汤,"['大枣', '桂枝', '甘草', '生姜', '芍药', '苦杏仁', '麻黄']",7,伤寒发微,太阳篇
11,桂枝二麻黄一汤,"['大枣', '桂枝', '甘草', '生姜', '芍药', '苦杏仁', '麻黄']",7,伤寒论类方,桂枝二麻黄一汤（十二）
12,麻黄杏仁薏苡甘草汤,"['甘草', '苦杏仁', '薏苡仁', '麻黄']",4,金匮名医验案精选,麻黄杏仁薏苡甘草汤
13,华盖散,"['桑白皮', '橘红', '甘草', '紫苏子', '苦杏仁', '赤茯苓', '麻黄']",7,严氏济生方,华盖散
14,三拗汤,"['甘草', '苦杏仁', '麻黄']",3,是斋百一选方,三拗汤
15,大青龙汤,"['大枣', '桂枝', '甘草', '生姜', '石膏', '苦杏仁', '麻黄']",7,经方杂谈,29大青龙汤
16,桂枝汤,"['大枣', '桂枝', '甘草', '生姜', '芍药']",5,经方一百首,010、桂枝汤
17,桂枝加葛根汤,"['大枣', '桂枝', '甘草', '生姜', '芍药', '葛根']",6,伤寒寻源,桂枝加葛根汤
18,桂枝加厚朴杏子汤,"['厚朴', '大枣', '桂枝', '甘草', '生姜', '芍药', '苦杏仁']",7,伤寒论辑义,辨太阳病脉证并治中
19,桂枝二越婢一汤,"['大枣', '桂枝', '甘草', '生姜', '石膏', '芍药', '麻黄']",7,伤寒杂病论义疏,桂枝二越婢一汤方
20,桂枝加桂汤,"['大枣', '桂枝', '甘草', '生姜', '芍药']",5,伤寒论类方,桂枝加桂汤（三）
21,桂枝加芍药汤,"['大枣', '桂枝', '炙甘草', '生姜', '芍药']",5,伤寒寻源,桂枝加芍药汤
22,桂枝加大黄汤,"['大枣', '大黄', '桂枝', '甘草', '生姜', '芍药']",6,伤寒寻源,桂枝加大黄汤
23,九味羌活汤,"['川芎', '甘草', '生地', '白芷', '细辛', '羌活', '苍术', '防风', '黄芩']",9,时方歌括,九味羌活汤
24,大羌活汤,"['川芎', '独活', '甘草', '生地', '生姜', '白芷', '知母', '细辛', '苍术', '葱白', '防己', '防风', '黄连']",13,汤头歌诀,大羌活汤
25,金沸草散,"['前胡', '半夏', '大枣', '旋覆花', '甘草', '生姜', '荆芥', '赤芍', '赤茯苓', '麻黄']",10,汤头歌诀,金沸草散
26,小青龙汤,"['五味子', '半夏', '干姜', '桂枝', '甘草', '白芍', '细辛', '麻黄']",8,名方广用,小青龙汤　《伤寒论》
27,射干麻黄汤,"['五味子', '半夏', '大枣', '射干', '款冬花', '生姜', '紫菀', '细辛', '麻黄']",9,经方一百首,028、射干麻黄汤
28,柴胡桂枝汤,"['人参', '半夏', '大枣', '柴胡', '桂枝', '甘草', '生姜', '白芍', '黄芩']",9,伤寒贯珠集,少阳权变法第二
29,麻杏甘石汤,"['牡丹皮', '甘草', '白鲜皮', '石膏', '苦杏仁', '蒺藜', '蝉蜕', '麻黄']",8,名方广用,麻杏甘石汤　《伤寒论》
30,柴葛解肌汤,"['柴胡', '桔梗', '甘草', '白芷', '羌活', '芍药', '葛根', '黄芩']",8,医方论,发表之剂
31,升麻葛根汤,"['升麻', '甘草', '芍药', '葛根']",4,时方歌括,升麻葛根汤
32,败毒散,"['川芎', '枳壳', '柴胡', '桔梗', '独活', '甘草', '生姜', '羌活', '茯苓', '薄荷']",10,汤头歌诀,人参败毒
33,仓廪散,"['人参', '前胡', '川芎', '枳壳', '柴胡', '桔梗', '独活', '甘草', '羌活', '茯苓', '薄荷', '陈仓米', '骨碎补']",13,普济方,下痢不能饮食
34,荆防败毒散,"['前胡', '川芎', '枳壳', '柴胡', '桔梗', '独活', '甘草', '羌活', '茯苓', '荆芥', '薄荷', '防风']",12,伤寒心法要诀,伤寒附法
35,参苏饮,"['人参', '前胡', '半夏', '木香', '枳壳', '桔梗', '甘草', '粉葛', '紫苏', '茯苓', '陈皮']",11,汤头歌诀,参苏饮
36,麻黄细辛附子汤,"['细辛', '附子', '麻黄']",3,经方杂谈,14麻黄附子细辛汤
37,再造散,"['人参', '大枣', '川芎', '桂枝', '炮姜', '甘草', '白芍', '细辛', '羌活', '防风', '附子', '黄芪']",12,退思集类方歌注,麻黄汤类
38,麻黄附子甘草汤,"['甘草', '附子', '麻黄']",3,伤寒杂病论义疏,麻黄附子甘草汤方
39,千金葳蕤汤,"['土木香', '川芎', '独活', '玉竹', '甘草', '白薇', '石膏', '苦杏仁', '麻黄']",9,伤寒论辩证广注,附昔贤治温病方论变法
40,葱白七味饮,"['淡豆豉', '生地', '生姜', '粉葛', '葱白', '麦冬']",6,普济方,时气劳复
41,小续命汤,"['人参', '川芎', '甘草', '生姜', '白芍', '肉桂', '苦杏仁', '防己', '防风', '附子', '麻黄', '黄芩']",12,普济本事方,小续命汤
42,续命汤,"['人参', '川芎', '干姜', '当归', '桂枝', '甘草', '石膏', '苦杏仁', '麻黄']",9,删补名医方论,卷（三）
43,大承气汤,"['厚朴', '大黄', '枳实', '芒硝']",4,经方一百首,060、大承气汤
44,小承气汤,"['厚朴', '大黄', '枳实']",3,伤寒论辑义,辨阳明病脉证并治
45,调胃承气汤,"['大黄', '甘草', '芒硝']",3,伤寒寻源,调胃承气汤
46,大陷胸丸,"['大黄', '芒硝', '苦杏仁', '葶苈子']",4,伤寒溯源集,结胸证治第三
47,大陷胸汤,"['大黄', '甘遂', '芒硝']",3,伤寒明理论,大陷胸汤方
48,大黄牡丹汤,"['冬瓜仁', '大黄', '桃仁', '牡丹皮', '芒硝']",5,经方杂谈,41大黄牡丹汤
49,清肠饮,"['地榆', '当归', '玄参', '甘草', '薏苡仁', '金银花', '麦冬', '黄芩']",8,验方新编,大肠痈
