community_id,herb,community_size
0,丁香,224
0,三棱,224
0,乌药,224
0,乳香,224
0,五味子,224
0,五灵脂,224
0,京大戟,224
0,人参,224
0,使君子,224
0,党参,224
0,全蝎,224
0,冬瓜仁,224
0,冰片,224
0,凌霄花,224
0,前胡,224
0,升麻,224
0,半夏,224
0,半夏曲,224
0,厚朴,224
0,吴茱萸,224
0,土鳖虫,224
0,地榆,224
0,地骨皮,224
0,地黄,224
0,地龙,224
0,大枣,224
0,大皂角,224
0,大腹皮,224
0,大蓟,224
0,大青盐,224
0,大黄,224
0,天冬,224
0,天南星,224
0,天花粉,224
0,天葵子,224
0,天麻,224
0,安息香,224
0,射干,224
0,小茴香,224
0,小蓟,224
0,山楂,224
0,山茱萸,224
0,山药,224
0,川乌,224
0,川楝子,224
0,川芎,224
0,川贝母,224
0,巴戟天,224
0,巴豆,224
0,干姜,224
0,广藿香,224
0,延胡索,224
0,当归,224
0,慈姑,224
0,旋覆花,224
0,木瓜,224
0,木通,224
0,木香,224
0,朱砂,224
0,杜仲,224
0,松子仁,224
0,枳壳,224
0,枳实,224
0,枸杞子,224
0,柏子仁,224
0,柴胡,224
0,栀子,224
0,桂心,224
0,桂枝,224
0,桃仁,224
0,桑叶,224
0,桑白皮,224
0,桑螵蛸,224
0,桔梗,224
0,槟榔,224
0,橘红,224
0,款冬花,224
0,水蛭,224
0,沉香,224
0,没药,224
0,泽兰,224
0,泽泻,224
0,淡竹叶,224
0,淡豆豉,224
0,滑石,224
0,火麻仁,224
0,炙甘草,224
0,炮姜,224
0,熟地,224
0,牛膝,224
0,牛蒡子,224
0,牡丹皮,224
0,牡蛎,224
0,牵牛子,224
0,犀角,224
0,独活,224
0,猪苓,224
0,玄参,224
0,瓜蒌子,224
0,甘草,224
0,甘遂,224
0,生地,224
0,生姜,224
0,白僵蚕,224
0,白头翁,224
0,白扁豆,224
0,白术,224
0,白果,224
0,白矾,224
0,白芍,224
0,白芷,224
0,白茯苓,224
0,白附子,224
0,百合,224
0,益智仁,224
0,瞿麦,224
0,知母,224
0,石斛,224
0,石膏,224
0,石菖蒲,224
0,石韦,224
0,砂仁,224
0,神曲,224
0,禹余粮,224
0,秦皮,224
0,秦艽,224
0,穿山甲,224
0,竹茹,224
0,粉葛,224
0,粳米,224
0,糯米,224
0,紫石英,224
0,紫花地丁,224
0,紫苏,224
0,紫苏叶,224
0,紫苏子,224
0,紫菀,224
0,红花,224
0,细辛,224
0,续断,224
0,羌活,224
0,羚羊角,224
0,肉桂,224
0,肉苁蓉,224
0,肉豆蔻,224
0,胆南星,224
0,艾叶,224
0,芍药,224
0,芒硝,224
0,芦根,224
0,芫花,224
0,花椒,224
0,苍术,224
0,苦参,224
0,苦杏仁,224
0,茯苓,224
0,茯苓皮,224
0,茵陈,224
0,荆芥,224
0,草乌,224
0,草乌头,224
0,草果,224
0,莪术,224
0,莲子,224
0,菊花,224
0,菟丝子,224
0,葛根,224
0,葱白,224
0,葶苈子,224
0,蒲公英,224
0,蒺藜,224
0,蔓荆子,224
0,薄荷,224
0,薏苡仁,224
0,薤白,224
0,藁本,224
0,虎胫骨,224
0,虻虫,224
0,蛇蜕,224
0,蜂房,224
0,蜂蜜,224
0,蜣螂,224
0,蝉蜕,224
0,补骨脂,224
0,败酱,224
0,赤石脂,224
0,赤硝,224
0,赤芍,224
0,赤茯苓,224
0,车前子,224
0,远志,224
0,连翘,224
0,通草,224
0,郁李仁,224
0,酒,224
0,酸枣仁,224
0,野菊花,224
0,金银花,224
0,防己,224
0,防风,224
0,阿胶,224
0,附子,224
0,陈皮,224
0,青皮,224
0,青黛,224
0,饴糖,224
0,香薷,224
0,香附,224
0,骨碎补,224
0,鳖甲,224
0,鹿角胶,224
0,麝香,224
0,麦冬,224
0,麦芽,224
0,麻黄,224
0,黄柏,224
0,黄芩,224
0,黄芪,224
0,黄连,224
0,黑芝麻,224
0,鼠妇,224
0,龙胆,224
0,龙骨,224
0,龟甲,224
1,侧柏叶,2
1,荷叶,2
